MSG,4,111,11111,ACC040,111111,2019/04/14,14:19:15.468,2019/04/14,14:19:15.440,,,290,90,,,-1088,,,,,0
MSG,3,111,11111,ACC040,111111,2019/04/14,14:19:15.580,2019/04/14,14:19:15.569,,9475,,,33.73352,-84.36188,,,,,,0
MSG,3,111,11111,ACC040,111111,2019/04/14,14:19:16.484,2019/04/14,14:19:16.486,,9475,,,33.73352,-84.36047,,,,,,0
MSG,4,111,11111,ACC040,111111,2019/04/14,14:19:16.516,2019/04/14,14:19:16.491,,,290,90,,,-1024,,,,,0
MSG,3,111,11111,ACC040,111111,2019/04/14,14:19:19.525,2019/04/14,14:19:19.504,,9425,,,33.73352,-84.35560,,,,,,0
MSG,4,111,11111,ACC040,111111,2019/04/14,14:19:19.637,2019/04/14,14:19:19.633,,,289,90,,,-960,,,,,0
MSG,3,111,11111,ACC040,111111,2019/04/14,14:19:20.580,2019/04/14,14:19:20.550,,9400,,,33.73352,-84.35387,,,,,,0
MSG,4,111,11111,AC3E76,111111,2019/04/14,14:19:21.255,2019/04/14,14:19:21.211,,,328,44,,,-192,,,,,0
MSG,4,111,11111,AC7E5E,111111,2019/04/14,14:19:23.809,2019/04/14,14:19:23.766,,,265,116,,,0,,,,,0
MSG,4,111,11111,AC7E5E,111111,2019/04/14,14:19:25.839,2019/04/14,14:19:25.797,,,264,116,,,0,,,,,0
MSG,3,111,11111,AC7E5E,111111,2019/04/14,14:19:26.108,2019/04/14,14:19:26.060,,13225,,,33.76983,-84.67152,,,,,,0
MSG,4,111,11111,AE07D7,111111,2019/04/14,14:19:26.493,2019/04/14,14:19:26.454,,,479,322,,,64,,,,,0
MSG,3,111,11111,ACC040,111111,2019/04/14,14:19:28.237,2019/04/14,14:19:28.217,,9275,,,33.73352,-84.34164,,,,,,0
MSG,4,111,11111,AC3E76,111111,2019/04/14,14:19:28.327,2019/04/14,14:19:28.284,,,325,44,,,-128,,,,,0
MSG,4,111,11111,ACC040,111111,2019/04/14,14:19:28.886,2019/04/14,14:19:28.873,,,285,90,,,-1088,,,,,0
